transaction_id,timestamp,merchant_id,amount,payment_method,location,device_id,customer_id,transaction_status,fraud_label
TF4A6ABBD99BA,2025-01-01 06:19:13,M0036,1520.46,UPI,Kolkata,D02033,C00028,SUCCESS,0
T4BE108C8F1A2,2025-01-01 06:19:56,M0029,2509.51,Debit Card,Surat,D03564,C01125,SUCCESS,0
T7311BC6DA918,2025-01-01 06:20:30,M0031,4165.94,UPI,Jaipur,D00974,C00528,SUCCESS,0
TCDD32964C275,2025-01-01 06:20:34,M0009,2916.58,Debit Card,Nagpur,D03106,C01140,SUCCESS,0
T63808BC6D7DE,2025-01-01 06:21:43,M0038,2076.82,Debit Card,Kochi,D00324,C03579,SUCCESS,0
T9FB88D330627,2025-01-01 06:21:47,M0034,3501.85,UPI,Ahmedabad,D03919,C02153,SUCCESS,0
TCF8B9D097827,2025-01-01 06:22:49,M0007,2764.05,UPI,Hyderabad,D03106,C02775,SUCCESS,0
T1E958E94B6F4,2025-01-01 06:23:00,M0052,2707.84,UPI,Delhi,D00331,C00881,SUCCESS,0
T54854FA82FED,2025-01-01 06:23:14,M0003,4321.73,Net Banking,Mumbai,D01031,C00526,SUCCESS,0
T6ACE74F3A889,2025-01-01 06:23:35,M0031,4919.05,Net Banking,Jaipur,D03746,C03960,SUCCESS,0
T6D3329CB7FE2,2025-01-01 06:23:35,M0050,1408.62,Credit Card,Kochi,D01955,C00238,SUCCESS,0
TFD6C45CB9544,2025-01-01 06:24:33,M0036,2388.42,Net Banking,Indore,D02525,C02963,SUCCESS,0
T9650D1F01BB9,2025-01-01 06:24:35,M0051,757.9,UPI,Delhi,D00639,C02342,SUCCESS,0
T79493D70E7AF,2025-01-01 06:25:01,M0036,1797.61,UPI,Chennai,D04404,C03285,SUCCESS,0
TFC88F6AFB760,2025-01-01 06:25:25,M0042,3900.08,UPI,Bengaluru,D04040,C00598,SUCCESS,0
TC52EB1EBF05B,2025-01-01 06:25:37,M0021,4080.97,UPI,Hyderabad,D02661,C00704,SUCCESS,0
T049C4214D801,2025-01-01 06:25:38,M0010,336.72,Net Banking,Delhi,D01625,C00312,SUCCESS,0
TB98D94873997,2025-01-01 06:26:02,M0050,3686.61,UPI,Kolkata,D00648,C02095,SUCCESS,0
TAEBC4B971374,2025-01-01 06:27:00,M0009,2874.0,Debit Card,Nagpur,D00223,C00344,SUCCESS,0
T2C4FFC135DEA,2025-01-01 06:28:22,M0053,3228.02,UPI,Pune,D00350,C03860,SUCCESS,0
TB6CF4475CBC0,2025-01-01 06:28:38,M0032,2004.22,Credit Card,Pune,D04224,C00573,SUCCESS,0
TAB93B77C5D3D,2025-01-01 06:28:49,M0046,3154.48,UPI,Chennai,D02884,C03464,SUCCESS,0
T4F6F1A029D18,2025-01-01 06:28:56,M0015,1566.42,UPI,Delhi,D03971,C00498,SUCCESS,0
TBD43765606EC,2025-01-01 06:29:44,M0015,1101.9,Debit Card,Delhi,D01562,C03776,SUCCESS,0
T77F63C55CE0E,2025-01-01 06:29:48,M0005,460.78,UPI,Chennai,D02458,C01873,SUCCESS,0
T4732D35B80E5,2025-01-01 06:29:58,M0031,6255.29,UPI,Pune,D03426,C01017,SUCCESS,0
T928EA45490FE,2025-01-01 06:30:03,M0010,474.15,UPI,Delhi,D04409,C03173,FAILED,0
T0757D6D417C0,2025-01-01 06:30:20,M0041,917.25,UPI,Indore,D01970,C02322,SUCCESS,0
T576F436E329F,2025-01-01 06:30:43,M0042,5646.02,Debit Card,Bengaluru,D00519,C00685,SUCCESS,0
T53295105CA51,2025-01-01 06:31:41,M0033,742.67,UPI,Hyderabad,D02714,C02760,SUCCESS,0
T817FEB2B9527,2025-01-01 06:32:00,M0021,3918.79,Credit Card,Hyderabad,D02283,C02352,SUCCESS,0
T07BC129F28A5,2025-01-01 06:32:13,M0047,3575.2,Credit Card,Bengaluru,D02942,C03899,SUCCESS,0
T4429E9FC189D,2025-01-01 06:32:14,M0039,776.66,Debit Card,Mumbai,D01249,C00804,SUCCESS,0
T91EADB501F7C,2025-01-01 06:32:58,M0053,3659.52,UPI,Pune,D00214,C01307,SUCCESS,0
TD84128801287,2025-01-01 06:34:31,M0016,2776.4,UPI,Lucknow,D01886,C02487,SUCCESS,0
T54638517E75E,2025-01-01 06:34:52,M0034,4335.08,Net Banking,Ahmedabad,D01699,C02298,SUCCESS,0
T8FF858E632B5,2025-01-01 06:35:02,M0049,6081.26,Credit Card,Indore,D03146,C01440,SUCCESS,0
TFB1FE11463EB,2025-01-01 06:35:09,M0021,4171.52,Debit Card,Hyderabad,D04346,C00882,SUCCESS,0
TB06CEDE7AEEE,2025-01-01 06:35:27,M0051,952.87,Net Banking,Delhi,D03055,C00490,SUCCESS,0
TB5CB048E0B8E,2025-01-01 06:35:28,M0034,2701.64,UPI,Ahmedabad,D02663,C02713,SUCCESS,0
T15A98DEAFC33,2025-01-01 06:35:30,M0007,3478.56,Debit Card,Hyderabad,D02640,C01905,SUCCESS,0
T2AE20A4211A8,2025-01-01 06:37:34,M0057,2389.24,Credit Card,Kolkata,D01864,C02268,SUCCESS,0
TBA5658154EBB,2025-01-01 06:37:43,M0047,1208.74,Debit Card,Bengaluru,D04029,C01703,SUCCESS,0
T65F055A69A91,2025-01-01 06:37:52,M0003,2576.35,Credit Card,Delhi,D02445,C03448,SUCCESS,0
TF657EE61A6E3,2025-01-01 06:38:17,M0045,1010.96,Debit Card,Kolkata,D03065,C01603,SUCCESS,0
T36466B81A5D0,2025-01-01 06:38:20,M0030,1645.87,Debit Card,Nagpur,D01264,C00702,SUCCESS,0
T8DFA4BDDF494,2025-01-01 06:39:07,M0060,4574.69,UPI,Indore,D03018,C03374,SUCCESS,0
TEDC2E79E6A41,2025-01-01 06:39:09,M0002,1701.94,UPI,Delhi,D00899,C00627,SUCCESS,0
T6C00684F2E46,2025-01-01 06:39:16,M0055,2719.44,Debit Card,Kolkata,D04474,C01538,SUCCESS,0
T33CC551C7725,2025-01-01 06:39:31,M0029,1573.94,Wallet,Surat,D02422,C01256,SUCCESS,0
TC8268ABB2C18,2025-01-01 06:40:05,M0044,231.44,UPI,Pune,D00697,C00448,SUCCESS,0
TC0F7D121BBA4,2025-01-01 06:40:43,M0039,1686.4,Credit Card,Mumbai,D00278,C03437,SUCCESS,0
TCA3166D2F409,2025-01-01 06:41:31,M0048,146.04,Net Banking,Hyderabad,D03999,C01341,SUCCESS,0
T8F466344B72F,2025-01-01 06:42:52,M0019,1348.45,UPI,Mumbai,D01186,C00533,SUCCESS,0
TE4F1D55B4B99,2025-01-01 06:43:21,M0037,2805.52,Credit Card,Indore,D03134,C01838,SUCCESS,0
TE1D65AC7AAAB,2025-01-01 06:43:35,M0033,4281.14,Debit Card,Hyderabad,D03115,C00606,SUCCESS,0
T2242698DE97A,2025-01-01 06:44:00,M0046,2834.41,Debit Card,Chennai,D02502,C00480,SUCCESS,0
TBE91A63F58B5,2025-01-01 06:44:25,M0010,318.24,UPI,Delhi,D00337,C01423,SUCCESS,0
TB2D42DA62FF1,2025-01-01 06:44:35,M0019,1355.85,UPI,Mumbai,D01146,C00186,SUCCESS,0
T10CBA33D6896,2025-01-01 06:44:54,M0026,637.18,UPI,Nagpur,D00448,C00784,SUCCESS,1
T3B46A9E3DB35,2025-01-01 06:46:05,M0029,2193.61,Debit Card,Surat,D00656,C01344,SUCCESS,0
T2F358745131D,2025-01-01 06:46:11,M0054,1273.23,Credit Card,Delhi,D01165,C02307,SUCCESS,0
TD5D79898CBF7,2025-01-01 06:46:12,M0021,1959.47,Credit Card,Hyderabad,D03243,C03566,SUCCESS,0
T992EA8BDE3C0,2025-01-01 06:46:22,M0013,1278.75,UPI,Chandigarh,D01842,C02653,SUCCESS,0
T5AC54D671A64,2025-01-01 06:47:11,M0001,1670.88,UPI,Surat,D02006,C00670,SUCCESS,0
T68FA3F388DEC,2025-01-01 06:48:24,M0021,5652.47,Credit Card,Hyderabad,D01731,C03144,SUCCESS,0
T2EDC899284DE,2025-01-01 06:48:31,M0007,1598.33,Debit Card,Hyderabad,D04174,C01638,SUCCESS,0
T685A172820F5,2025-01-01 06:48:50,M0006,1278.13,Wallet,Hyderabad,D01305,C03226,SUCCESS,0
T0E5ADF183D71,2025-01-01 06:49:28,M0047,3032.87,Credit Card,Bengaluru,D00486,C01136,SUCCESS,0
T5F94C6324B82,2025-01-01 06:50:20,M0052,3353.5,Debit Card,Delhi,D01146,C00498,SUCCESS,0
T17857F517EEC,2025-01-01 06:50:44,M0003,1310.32,UPI,Mumbai,D00475,C00987,SUCCESS,0
T1E5151FC759B,2025-01-01 06:51:33,M0037,3444.1,UPI,Indore,D04128,C01185,SUCCESS,0
TFE9D8C2DAF43,2025-01-01 06:51:37,M0016,2877.35,Credit Card,Lucknow,D02831,C02407,SUCCESS,0
T35DE8911ABD5,2025-01-01 06:51:46,M0053,1880.62,UPI,Pune,D04116,C01318,FAILED,0
T99A117AE4408,2025-01-01 06:52:19,M0003,1181.81,Net Banking,Mumbai,D04345,C03763,SUCCESS,0
T6F5E41DC6CA3,2025-01-01 06:53:27,M0046,4703.85,Debit Card,Chennai,D01159,C02093,FAILED,0
T7AE9F70F8409,2025-01-01 06:53:54,M0004,2316.53,UPI,Nagpur,D02282,C01895,SUCCESS,0
TC8F85C48A35A,2025-01-01 06:54:21,M0016,3273.97,UPI,Lucknow,D01944,C01563,SUCCESS,0
T45BC04AA4AF4,2025-01-01 06:55:03,M0032,2335.52,UPI,Pune,D03220,C02526,SUCCESS,0
T87913A3E6171,2025-01-01 06:55:38,M0053,1972.57,Debit Card,Pune,D02216,C00737,SUCCESS,0
T5F2597E4B10D,2025-01-01 06:55:50,M0054,2398.68,UPI,Delhi,D01291,C03000,SUCCESS,0
T0851ABE1648D,2025-01-01 06:55:51,M0010,272.99,UPI,Delhi,D01035,C01940,SUCCESS,0
T5677017DAA42,2025-01-01 06:56:45,M0014,321.1,Debit Card,Jaipur,D04029,C03970,SUCCESS,0
T1C6169DF42C4,2025-01-01 06:57:28,M0038,1896.88,UPI,Kochi,D02944,C01264,SUCCESS,0
TA9AB8A94EBAE,2025-01-01 06:57:48,M0055,1849.2,UPI,Kolkata,D00556,C01436,SUCCESS,0
T2884F4219BDA,2025-01-01 06:57:52,M0037,2317.13,Credit Card,Indore,D03596,C00960,SUCCESS,0
T6AF80C94BEA0,2025-01-01 06:58:49,M0054,759.34,UPI,Delhi,D03182,C01454,SUCCESS,0
T53D4840B9AC5,2025-01-01 06:59:21,M0043,1617.27,UPI,Nagpur,D01646,C01963,SUCCESS,0
TE22906607B5B,2025-01-01 07:00:54,M0007,2254.87,UPI,Hyderabad,D03771,C01433,SUCCESS,0
T918C7AB30BBA,2025-01-01 07:01:37,M0050,1483.45,Debit Card,Kolkata,D03729,C02093,SUCCESS,0
T40D2F7D4A19E,2025-01-01 07:01:38,M0040,509.99,UPI,Indore,D01851,C01229,SUCCESS,0
T469DB2D32E6A,2025-01-01 07:02:07,M0024,1171.9,UPI,Lucknow,D03469,C02083,SUCCESS,0
TDA73E1F74062,2025-01-01 07:03:13,M0050,1624.34,UPI,Kolkata,D02347,C02575,SUCCESS,0
T5EFB84280B19,2025-01-01 07:04:28,M0042,2096.81,Net Banking,Bengaluru,D01138,C01102,SUCCESS,0
TD6E09ABFFB74,2025-01-01 07:04:30,M0057,4202.41,UPI,Kolkata,D03890,C02346,SUCCESS,0
T8DBFED3A2CF4,2025-01-01 07:05:27,M0007,1499.79,Credit Card,Hyderabad,D00227,C00473,SUCCESS,0
T27E8F8CE2260,2025-01-01 07:05:44,M0055,1399.78,Wallet,Kolkata,D03392,C02020,SUCCESS,0
T9D3EC6F79B7B,2025-01-01 07:05:57,M0013,1266.46,UPI,Chandigarh,D03540,C03009,SUCCESS,0
TABDC4DC0A392,2025-01-01 07:06:41,M0032,310.77,UPI,Pune,D04013,C02903,SUCCESS,0
T64EBF6507932,2025-01-01 07:06:44,M0037,3084.0,UPI,Indore,D00025,C03055,SUCCESS,0
T11843C1870E8,2025-01-01 07:07:58,M0030,1279.57,UPI,Nagpur,D03602,C01703,SUCCESS,0
T28C7E6F7DFE9,2025-01-01 07:08:03,M0051,499.34,UPI,Delhi,D02009,C00617,SUCCESS,0
T8CDC10A4FDB4,2025-01-01 07:08:05,M0040,447.15,UPI,Indore,D00260,C00383,SUCCESS,0
TC46E79A8B95B,2025-01-01 07:08:55,M0029,1167.04,UPI,Surat,D03653,C02469,SUCCESS,0
TC1E53AEF5E36,2025-01-01 07:09:21,M0031,4965.04,UPI,Jaipur,D01004,C01096,SUCCESS,0
T8BA5E740F779,2025-01-01 07:09:33,M0009,3234.32,Debit Card,Nagpur,D01798,C01118,SUCCESS,0
TE15BDA19415D,2025-01-01 07:09:42,M0015,561.74,Net Banking,Delhi,D02828,C01362,SUCCESS,0
T1317B1740E9D,2025-01-01 07:10:09,M0008,556.55,UPI,Bengaluru,D00412,C02284,SUCCESS,0
T890AFB3D4BC3,2025-01-01 07:10:35,M0011,2735.09,Net Banking,Surat,D03105,C01378,FAILED,0
TF1495A12D863,2025-01-01 07:10:40,M0011,3389.73,UPI,Surat,D02512,C01030,SUCCESS,0
T3665DB1C133F,2025-01-01 07:11:16,M0021,2741.93,UPI,Hyderabad,D03517,C02349,SUCCESS,0
T8377612F5229,2025-01-01 07:11:26,M0052,3276.37,Credit Card,Delhi,D00893,C00637,SUCCESS,0
T5B5324BBCF55,2025-01-01 07:11:39,M0019,704.66,Credit Card,Mumbai,D02688,C03749,SUCCESS,0
T74FC861023EE,2025-01-01 07:12:42,M0018,2427.58,Net Banking,Mumbai,D01849,C03524,SUCCESS,0
T539B9FDED91F,2025-01-01 07:13:21,M0045,937.74,Net Banking,Chennai,D01819,C02092,SUCCESS,0
TB42672EBBBFC,2025-01-01 07:13:37,M0052,4166.99,UPI,Delhi,D01292,C03308,FAILED,0
T552573655E5A,2025-01-01 07:13:53,M0051,867.62,UPI,Delhi,D02313,C03169,SUCCESS,0
T485AD9C10C7D,2025-01-01 07:13:55,M0046,4716.7,Credit Card,Lucknow,D03519,C01593,SUCCESS,0
TD4034FA7D998,2025-01-01 07:14:13,M0031,1152.99,Debit Card,Jaipur,D03058,C03256,SUCCESS,0
TE7807F361B4A,2025-01-01 07:14:21,M0029,1494.9,UPI,Surat,D04048,C00108,SUCCESS,0
T088B1AC409B0,2025-01-01 07:14:38,M0045,1272.8,UPI,Kolkata,D00704,C00476,SUCCESS,0
TE9C272F8EB85,2025-01-01 07:15:37,M0030,1392.52,Debit Card,Nagpur,D01058,C01773,SUCCESS,0
T6CA9824ADFFB,2025-01-01 07:16:36,M0042,4499.66,UPI,Bengaluru,D01602,C01876,SUCCESS,0
T3D15F1C0AFC1,2025-01-01 07:18:18,M0023,825.74,Debit Card,Jaipur,D00848,C03322,SUCCESS,0
T211F6C2E1658,2025-01-01 07:18:46,M0047,1223.5,Wallet,Bengaluru,D01367,C02006,SUCCESS,0
TF9F9D4921552,2025-01-01 07:19:14,M0027,2601.1,Credit Card,Hyderabad,D02404,C00826,SUCCESS,0
TF67718D3AFD8,2025-01-01 07:19:27,M0003,2507.3,Debit Card,Mumbai,D00483,C00938,SUCCESS,0
T10BB70B15AA1,2025-01-01 07:19:53,M0057,3865.59,Credit Card,Kolkata,D04436,C01696,SUCCESS,0
T3764CE9A395D,2025-01-01 07:21:02,M0009,4728.53,UPI,Nagpur,D02765,C03118,SUCCESS,0
T29EFD5AE98EB,2025-01-01 07:21:03,M0052,2554.72,Net Banking,Delhi,D01624,C03374,SUCCESS,0
T7D0F4E4ED7DA,2025-01-01 07:21:38,M0027,2216.7,Credit Card,Hyderabad,D04310,C02229,FAILED,0
TD46768402FBA,2025-01-01 07:22:00,M0057,4859.96,Credit Card,Kolkata,D02171,C00374,SUCCESS,0
T78F5C84DCF9F,2025-01-01 07:22:22,M0031,3566.1,Net Banking,Jaipur,D00190,C00369,SUCCESS,0
T9C7B8004A555,2025-01-01 07:23:07,M0006,1860.33,UPI,Hyderabad,D01072,C02610,SUCCESS,0
TEFF08E1D9839,2025-01-01 07:23:32,M0053,2545.01,Debit Card,Pune,D02929,C03141,SUCCESS,0
TAAEC757D88F3,2025-01-01 07:24:30,M0036,3692.89,UPI,Chennai,D04005,C00373,SUCCESS,0
T7666ADA68EDC,2025-01-01 07:24:44,M0020,158.97,UPI,Delhi,D01762,C01762,SUCCESS,0
TF02D0C16FE7C,2025-01-01 07:25:04,M0009,3810.12,UPI,Pune,D02682,C00867,SUCCESS,0
TEC6741AEC1B3,2025-01-01 07:25:30,M0049,2137.04,UPI,Indore,D00691,C01017,SUCCESS,0
TF9BCBBD6756A,2025-01-01 07:25:33,M0048,1793.01,UPI,Hyderabad,D01241,C03768,SUCCESS,0
TA61030E0383D,2025-01-01 07:26:16,M0004,1646.97,Credit Card,Chandigarh,D00618,C01816,SUCCESS,0
T826ADE69B798,2025-01-01 07:26:30,M0004,2857.41,Debit Card,Nagpur,D03299,C02983,SUCCESS,0
TD6E07B2ED7F5,2025-01-01 07:27:02,M0020,393.57,UPI,Delhi,D01066,C02279,SUCCESS,0
T8E354E9D6025,2025-01-01 07:27:41,M0058,1303.92,Debit Card,Lucknow,D04234,C03279,SUCCESS,0
T061FFA964E74,2025-01-01 07:27:45,M0060,4180.77,UPI,Indore,D03415,C02478,FAILED,0
TC89E6591EED9,2025-01-01 07:27:59,M0006,1636.63,Debit Card,Hyderabad,D00946,C03645,SUCCESS,0
TAE4AD9D7CD3A,2025-01-01 07:28:02,M0048,1016.87,UPI,Hyderabad,D01785,C03966,SUCCESS,0
T39E806CEC764,2025-01-01 07:29:07,M0027,905.23,Debit Card,Hyderabad,D03277,C03045,SUCCESS,0
T5F289FD1DFD4,2025-01-01 07:29:12,M0025,1689.33,Debit Card,Mumbai,D01856,C00564,SUCCESS,0
T1AF8EC84471F,2025-01-01 07:29:17,M0009,3017.62,UPI,Nagpur,D03604,C00318,SUCCESS,0
T2CD74759876B,2025-01-01 07:29:50,M0048,2350.79,UPI,Hyderabad,D02245,C00383,SUCCESS,0
T4C268ABAF90E,2025-01-01 07:30:56,M0019,899.89,Net Banking,Delhi,D03804,C03725,SUCCESS,0
T7F00D098BF18,2025-01-01 07:31:12,M0052,2947.39,Debit Card,Delhi,D04258,C01692,SUCCESS,0
T5F3FFA8F73A9,2025-01-01 07:31:44,M0044,527.67,UPI,Pune,D01263,C02930,SUCCESS,0
T5FE2AD39EC7A,2025-01-01 07:31:48,M0059,2178.48,Net Banking,Surat,D03978,C02344,SUCCESS,0
TF693FE2C5E8C,2025-01-01 07:32:32,M0006,2006.0,Debit Card,Hyderabad,D00080,C00459,SUCCESS,0
TB6024EAF628C,2025-01-01 07:32:38,M0036,2338.88,UPI,Chennai,D04451,C02148,SUCCESS,0
TB971A4989923,2025-01-01 07:32:55,M0034,2935.94,Debit Card,Hyderabad,D02286,C02286,SUCCESS,0
T07717ED3B4FE,2025-01-01 07:33:26,M0060,1246.74,UPI,Indore,D03064,C03363,SUCCESS,0
T6C0A96B3D7D9,2025-01-01 07:33:27,M0012,245.46,Wallet,Nagpur,D03922,C01805,SUCCESS,0
TD1FE79DDF650,2025-01-01 07:34:06,M0007,2098.55,Debit Card,Hyderabad,D03534,C00287,SUCCESS,0
T3229208DA3AA,2025-01-01 07:34:17,M0007,3009.1,Credit Card,Chennai,D01722,C01761,SUCCESS,0
TFDE436819C53,2025-01-01 07:34:25,M0054,1632.91,UPI,Delhi,D01906,C02465,SUCCESS,0
TEB9D47DF1968,2025-01-01 07:34:27,M0052,3774.61,UPI,Delhi,D03313,C03501,SUCCESS,0
TC445C52CDD93,2025-01-01 07:35:01,M0048,1769.88,Net Banking,Hyderabad,D03646,C00039,SUCCESS,0
T4F36FCA5B173,2025-01-01 07:35:36,M0022,2363.3,UPI,Hyderabad,D04048,C01901,SUCCESS,0
TBAE2EB02110E,2025-01-01 07:35:49,M0021,5777.23,Debit Card,Hyderabad,D03622,C01697,SUCCESS,0
TFCC09505EC35,2025-01-01 07:37:22,M0054,663.26,UPI,Delhi,D04312,C03526,SUCCESS,0
T126EAFC13187,2025-01-01 07:37:54,M0016,2733.84,UPI,Lucknow,D03134,C02539,SUCCESS,0
TC3E703737BF5,2025-01-01 07:38:02,M0011,3335.06,UPI,Surat,D03024,C01939,SUCCESS,0
TF2747173BD19,2025-01-01 07:38:40,M0042,4841.83,Debit Card,Bengaluru,D02021,C02953,SUCCESS,0
TDA5E22B23DF7,2025-01-01 07:39:22,M0011,1842.66,UPI,Surat,D00142,C00382,SUCCESS,0
T85B9A1E53597,2025-01-01 07:39:26,M0006,1067.28,Credit Card,Hyderabad,D04451,C02882,SUCCESS,0
TB052FA422A3A,2025-01-01 07:39:37,M0035,495.13,Net Banking,Lucknow,D01903,C02192,SUCCESS,0
T2CCBAFB3ADC4,2025-01-01 07:40:06,M0026,383.65,Debit Card,Jaipur,D01134,C03576,SUCCESS,0
TEB23BDB82E3E,2025-01-01 07:40:13,M0022,1613.14,UPI,Hyderabad,D03678,C02790,SUCCESS,0
TD1B7613211BE,2025-01-01 07:40:21,M0019,670.87,UPI,Mumbai,D00932,C03055,SUCCESS,0
T0EBC04176CAA,2025-01-01 07:40:40,M0060,3880.36,Credit Card,Indore,D01632,C01123,SUCCESS,0
T36A313A3A77B,2025-01-01 07:41:18,M0028,3584.53,Debit Card,Nagpur,D04254,C01093,SUCCESS,0
T68300887F880,2025-01-01 07:41:44,M0001,1380.0,Credit Card,Surat,D03764,C02197,SUCCESS,0
T493CD7012361,2025-01-01 07:42:13,M0023,694.67,Debit Card,Jaipur,D00429,C03233,SUCCESS,0
